Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
59.6,12.23,4.99,3.27
59.9,12.25,5.01,3.26
60.2,12.25,4.98,3.21
60.5,12.26,5.01,3.27
60.8,12.25,4.99,3.25
61.1,12.26,4.99,3.17
61.4,12.25,4.98,3.22
61.71,12.23,4.97,3.28
62.01,12.25,4.99,3.18
62.31,12.25,5.02,3.29
62.61,12.25,5.01,3.21
62.91,12.25,4.97,3.58
63.21,12.23,4.98,3.17
63.51,12.23,4.98,3.15
63.81,12.26,4.91,3.23
64.11,12.26,5.04,3.17
64.41,12.26,4.99,3.15
64.71,12.23,5.01,3.21
65.02,12.28,4.98,3.26
65.32,12.26,4.98,3.16
65.62,12.23,5.01,3.24
65.92,12.26,4.98,3.16
66.22,12.26,4.99,3.19
66.52,12.25,4.98,3.16
66.82,12.23,5.01,3.21
67.12,12.26,4.99,3.25
67.42,12.21,4.99,3.16
67.72,12.23,4.98,3.25
68.03,12.26,4.99,3.29
68.33,12.23,4.99,3.24
68.63,12.25,5.01,3.29
68.93,12.21,4.99,3.18
69.23,12.25,4.98,3.23
69.53,12.25,4.99,3.19
69.83,12.26,4.98,3.16
70.13,12.25,4.99,3.2
70.43,12.25,4.99,3.17
70.74,12.21,5.01,3.25
71.04,12.26,4.99,3.26
71.34,12.23,4.99,3.23
71.64,12.25,4.98,3.19
71.94,12.26,5.01,3.22
72.24,12.26,4.99,3.16
72.54,12.26,4.98,3.26
72.84,12.25,4.99,3.17
73.14,12.26,5.02,3.2
73.44,12.23,4.98,3.22
73.75,12.23,4.98,3.12
74.05,12.25,5.02,3.18
74.35,12.21,4.98,3.21
74.65,12.3,4.98,3.26
74.95,12.26,4.99,3.16
75.25,12.25,4.98,3.11
75.55,12.26,4.99,3.14
75.85,12.25,5.01,3.22
76.15,12.21,4.95,3.23
76.45,12.28,4.98,3.25
76.75,12.25,4.99,3.17
77.06,12.23,4.97,3.21
77.36,12.25,4.99,3.18
77.66,12.28,4.99,3.22
77.96,12.25,4.98,3.18
78.26,12.25,5.01,3.22
78.56,12.25,4.99,3.3
78.86,12.25,4.99,3.24
79.16,12.25,5.02,3.16
79.46,12.26,4.99,3.21
79.76,12.23,4.99,3.24
80.07,12.25,5.02,3.24
80.37,12.25,4.99,3.24
80.67,12.25,4.98,3.2
80.97,12.25,5.01,3.28
81.27,12.25,4.98,3.21
81.57,12.23,4.98,3.16
81.87,12.25,5.01,3.23
82.17,12.23,5.01,3.23
82.47,12.25,4.98,3.22
82.78,12.26,5.01,3.22
83.08,12.23,4.99,3.21
83.38,12.26,4.98,3.2
83.68,12.25,4.98,3.16
83.98,12.25,4.99,3.24
84.28,12.25,4.98,3.19
84.58,12.25,4.99,3.16
84.88,12.23,4.99,3.24
85.18,12.23,4.99,3.19
85.48,12.25,4.99,3.13
85.79,12.25,4.98,3.13
86.09,12.26,4.98,3.17
86.39,12.21,4.98,3.18
86.69,12.26,5.01,3.25
86.99,12.23,4.99,3.13
87.29,12.25,5.01,3.16
87.59,12.26,4.98,3.18
87.89,12.26,4.98,3.19
88.19,12.25,4.99,3.22
88.49,12.25,5.01,3.16
88.79,12.25,4.99,3.14
89.1,12.25,4.99,3.24
89.4,12.25,4.99,3.18
89.7,12.3,4.98,3.24
90.0,12.23,4.99,3.22
90.3,12.25,4.98,3.14
90.6,12.17,4.98,3.19
90.9,12.25,4.99,3.23
91.2,12.23,4.98,3.02
91.5,12.26,4.98,3.17
91.81,12.26,4.99,3.21
92.11,12.25,4.98,3.22
92.41,12.25,4.98,3.19
92.71,12.25,4.99,3.23
93.01,12.25,4.99,2.84
93.31,12.26,5.01,3.25
93.61,12.25,4.98,3.2
93.91,12.23,4.98,3.2
94.21,12.23,4.99,3.22
94.51,12.25,4.98,3.22
94.82,12.26,4.99,3.23
95.12,12.25,4.99,3.37
95.42,12.25,5.02,3.22
95.72,12.26,4.98,3.32
96.02,12.25,4.99,3.16
96.32,12.25,4.98,3.24
96.62,12.25,4.99,3.23
96.92,12.23,5.01,3.24
97.22,12.25,5.03,3.21
97.52,12.23,4.98,3.21
97.82,12.23,4.98,3.17
