Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
260.36,12.25,4.97,3.18
260.67,12.26,5.01,3.17
260.97,12.23,4.98,3.24
261.27,12.23,4.98,2.8
261.57,12.25,5.03,3.16
261.87,12.25,4.95,3.18
262.17,12.26,5.01,3.22
262.47,12.25,4.95,3.22
262.77,12.25,4.99,3.12
263.07,12.23,4.99,3.24
263.38,12.25,4.99,3.39
263.68,12.26,4.98,3.17
263.98,12.25,4.99,3.17
264.28,12.23,4.99,3.15
264.58,12.21,4.98,3.18
264.88,12.25,4.99,3.29
265.18,12.21,4.99,3.26
265.48,12.23,4.98,3.16
265.78,12.26,4.98,3.26
266.08,12.26,4.98,3.24
266.39,12.25,4.98,3.23
266.69,12.25,4.99,3.24
266.99,12.26,4.98,3.22
267.29,12.21,4.99,3.25
267.59,12.25,5.01,3.21
267.89,12.25,4.97,3.16
268.19,12.23,4.99,3.31
268.49,12.25,4.99,3.22
268.79,12.25,4.99,3.18
269.09,12.25,4.99,3.21
269.39,12.26,4.99,2.92
269.7,12.25,4.95,3.2
270.0,12.26,4.99,3.18
270.3,12.23,4.99,3.19
270.6,12.23,4.98,3.24
270.9,12.23,4.99,3.17
271.2,12.26,4.98,3.17
271.5,12.25,4.99,3.23
271.8,12.19,4.98,3.15
272.1,12.26,4.97,3.25
272.4,12.23,5.01,3.14
272.71,12.26,4.99,3.2
273.01,12.26,4.98,3.2
273.31,12.25,4.98,3.2
273.61,12.25,4.99,3.19
273.91,12.26,4.99,3.26
274.21,12.26,4.99,3.19
274.51,12.23,4.99,3.31
274.81,12.28,5.02,3.17
275.11,12.21,4.98,3.24
275.42,12.25,4.99,3.37
275.72,12.21,5.02,3.16
276.02,12.26,4.98,3.18
276.32,12.25,4.94,3.29
276.62,12.25,4.99,3.25
276.92,12.26,5.01,3.25
277.22,12.25,4.98,3.17
277.52,12.21,4.99,3.09
277.82,12.25,4.99,3.22
278.12,12.23,4.97,3.25
278.42,12.25,4.97,3.16
278.73,12.23,5.01,3.18
279.03,12.23,4.99,3.18
279.33,12.28,5.01,3.23
279.63,12.28,4.99,3.18
279.93,12.21,4.99,3.21
280.23,12.25,4.98,3.4
280.53,12.25,4.95,3.14
280.83,12.25,4.99,3.0
281.13,12.25,4.99,3.19
281.43,12.23,4.99,3.24
281.74,12.25,4.98,3.19
282.04,12.25,4.99,3.12
282.34,12.25,4.98,3.31
282.64,12.26,4.99,3.24
282.94,12.26,4.99,3.21
283.24,12.28,4.97,3.22
283.54,12.25,4.98,3.2
283.84,12.25,5.01,3.19
284.14,12.23,5.01,3.19
284.45,12.25,4.99,3.21
284.75,12.23,4.98,3.21
285.05,12.26,4.98,3.15
285.35,12.3,4.98,3.24
285.65,12.23,4.99,3.22
285.95,12.23,4.98,3.31
286.25,12.26,4.98,3.2
286.55,12.25,4.99,3.24
286.85,12.26,4.98,3.22
287.15,12.25,4.98,3.21
287.45,12.23,4.98,3.12
287.76,12.25,4.98,3.21
288.06,12.26,5.02,3.29
288.36,12.25,5.01,3.26
288.66,12.23,4.99,3.2
288.96,12.26,4.98,3.27
289.26,12.25,4.99,3.17
289.56,12.25,4.98,3.19
289.86,12.25,4.99,3.24
290.16,12.26,4.99,3.13
290.46,12.25,4.98,3.25
290.77,12.25,4.98,3.25
291.07,12.25,4.99,3.19
291.37,12.25,4.98,3.36
291.67,12.21,4.99,3.17
291.97,12.26,4.98,3.22
292.27,12.26,4.98,3.2
292.57,12.26,4.99,3.22
292.87,12.26,4.97,3.28
293.17,12.25,4.99,3.29
293.48,12.26,4.99,3.27
293.78,12.25,4.98,3.16
294.08,12.25,4.99,3.22
294.38,12.25,4.99,3.14
294.68,12.26,4.98,3.26
294.98,12.26,5.01,3.16
295.28,12.25,4.99,3.2
295.58,12.25,4.97,3.16
295.88,12.25,4.99,3.23
296.18,12.23,5.02,3.16
296.48,12.25,4.98,3.13
296.79,12.25,4.99,3.49
297.09,12.26,4.99,3.22
297.39,12.23,4.97,3.16
297.69,12.23,4.99,3.18
297.99,12.26,4.99,3.23
