Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
30.1,12.26,4.98,3.16
30.4,12.23,4.98,3.15
30.7,12.23,4.98,3.12
31.0,12.25,4.99,3.07
31.3,12.25,4.99,3.1
31.6,12.23,4.98,3.13
31.91,12.26,4.99,3.1
32.21,12.25,4.99,3.17
32.51,12.23,5.01,3.13
32.81,12.25,5.03,3.05
33.11,12.25,4.99,2.82
33.41,12.23,4.98,3.13
33.71,12.26,4.99,3.14
34.01,12.23,5.01,3.14
34.31,12.25,4.99,3.13
34.62,12.26,4.98,3.12
34.92,12.25,4.98,3.11
35.22,12.25,4.97,3.13
35.52,12.26,4.98,3.13
35.82,12.26,4.99,3.08
36.12,12.25,5.03,3.1
36.42,12.25,5.02,3.08
36.72,12.26,4.95,3.07
37.02,12.26,4.99,3.14
37.32,12.26,4.98,3.03
37.62,12.25,4.98,3.2
37.93,12.23,4.98,3.1
38.23,12.23,4.99,3.1
38.53,12.25,4.98,3.1
38.83,12.25,4.97,3.12
39.13,12.26,5.1,3.18
39.43,12.26,4.99,3.13
39.73,12.23,4.95,3.17
40.03,12.25,4.97,3.17
40.33,12.21,4.98,3.17
40.63,12.26,5.02,3.13
40.94,12.21,4.99,3.16
41.24,12.23,5.02,3.08
41.54,12.25,4.99,3.1
41.84,12.25,5.01,3.11
42.14,12.26,4.99,3.09
42.44,12.26,4.99,3.11
42.74,12.25,4.99,3.15
43.04,12.23,4.98,3.12
43.34,12.23,4.98,3.13
43.65,12.23,4.99,3.12
43.95,12.26,4.99,3.13
44.25,12.25,4.98,3.23
44.55,12.25,4.97,3.16
44.85,12.25,4.95,3.17
45.15,12.25,4.98,3.19
45.45,12.25,4.98,3.14
45.75,12.23,4.98,3.14
46.05,12.26,4.99,3.14
46.35,12.28,4.98,3.15
46.65,12.25,4.98,3.15
46.96,12.21,4.98,3.12
47.26,12.25,4.98,3.12
47.56,12.25,4.98,3.15
47.86,12.25,4.99,3.15
48.16,12.23,4.97,3.14
48.46,12.23,4.97,3.41
48.76,12.23,4.98,3.12
49.06,12.26,4.98,3.13
49.36,12.25,4.97,3.14
49.67,12.25,4.98,2.86
49.97,12.21,4.99,3.14
50.27,12.25,5.01,3.07
50.57,12.25,4.99,3.11
50.87,12.23,5.02,3.17
51.17,12.23,4.97,3.11
51.47,12.23,4.99,3.13
51.77,12.26,4.99,3.16
52.07,12.25,4.98,3.08
52.37,12.23,4.98,3.12
52.67,12.23,4.98,3.15
52.98,12.23,4.98,3.12
53.28,12.26,4.99,3.09
53.58,12.23,4.99,3.16
53.88,12.25,4.99,3.11
54.18,12.26,4.97,3.13
54.48,12.26,5.01,3.06
54.78,12.25,4.98,3.02
55.08,12.23,4.99,3.35
55.38,12.23,4.99,2.98
55.69,12.34,4.98,3.1
55.99,12.26,4.99,3.13
56.29,12.23,4.98,3.16
56.59,12.23,4.98,3.02
56.89,12.23,4.99,3.15
57.19,12.28,4.99,3.16
57.49,12.25,4.98,3.17
57.79,12.26,4.97,3.06
58.09,12.34,4.98,3.09
58.39,12.26,4.98,3.07
58.69,12.26,4.98,3.19
59.0,12.26,4.95,3.02
59.3,12.25,4.98,3.17
59.6,12.26,4.98,3.12
59.9,12.25,4.97,3.07
60.2,12.23,4.99,3.25
60.5,12.25,4.99,3.1
60.8,12.25,4.98,3.08
61.1,12.25,4.97,3.09
61.4,12.34,4.97,3.09
61.71,12.26,4.98,3.1
62.01,12.23,4.98,3.06
62.31,12.26,4.98,3.14
62.61,12.26,4.97,3.07
62.91,12.25,4.98,3.07
63.21,12.26,4.98,3.15
63.51,12.25,5.01,3.15
63.81,12.25,5.01,3.08
64.11,12.26,4.98,3.1
64.41,12.23,4.99,3.15
64.71,12.25,4.99,3.15
65.02,12.25,4.98,3.15
65.32,12.25,4.99,3.08
65.62,12.26,4.99,3.18
65.92,12.25,4.99,3.09
66.22,12.26,4.98,3.15
66.52,12.25,5.01,3.1
66.82,12.26,4.97,3.24
67.12,12.26,4.99,3.12
67.42,12.23,4.98,3.12
67.72,12.26,5.01,3.11
68.03,12.23,4.95,3.06
68.33,12.23,4.97,3.07
68.63,12.23,4.98,3.14
68.93,12.23,4.99,3.13
69.23,12.23,5.01,3.09
69.53,12.25,4.99,3.15
69.83,12.25,4.99,3.13
70.13,12.23,5.01,3.15
70.43,12.26,4.97,3.08
70.74,12.26,4.99,3.14
71.04,12.21,4.98,3.15
71.34,12.23,4.99,3.12
71.64,12.25,4.98,3.1
71.94,12.25,4.98,3.18
72.24,12.25,4.99,3.17
72.54,12.21,4.98,3.31
72.84,12.25,4.97,3.1
73.14,12.23,5.01,3.12
73.44,12.26,4.98,3.11
73.75,12.25,4.98,3.06
74.05,12.25,4.98,3.12
74.35,12.23,4.98,3.14
74.65,12.21,4.98,3.08
74.95,12.25,5.01,3.13
75.25,12.25,4.95,3.12
75.55,12.25,4.98,3.15
75.85,12.23,4.98,3.12
76.15,12.23,4.98,3.2
76.45,12.25,4.99,3.12
76.75,12.26,4.99,3.14
77.06,12.25,4.98,3.1
77.36,12.23,4.98,3.37
77.66,12.26,4.98,3.1
77.96,12.25,4.97,3.18
78.26,12.25,4.98,3.16
78.56,12.26,5.01,3.16
78.86,12.26,4.97,2.86
79.16,12.26,4.99,3.14
79.46,12.23,5.01,3.13
79.76,12.26,4.98,3.07
80.07,12.23,4.99,3.12
80.37,12.23,4.99,3.14
80.67,12.25,4.98,3.1
80.97,12.23,5.01,3.05
81.27,12.21,4.99,3.14
81.57,12.23,4.98,3.13
81.87,12.25,4.98,3.11
82.17,12.26,4.98,3.13
82.47,12.25,4.98,3.19
82.78,12.25,4.98,3.11
83.08,12.23,4.99,3.11
83.38,12.21,4.98,3.04
83.68,12.23,4.98,3.12
83.98,12.21,4.99,3.09
84.28,12.25,4.97,3.08
84.58,12.25,4.99,3.12
84.88,12.25,4.99,3.15
85.18,12.25,4.98,3.16
85.48,12.26,4.99,3.15
85.79,12.23,4.98,3.15
86.09,12.25,4.98,3.09
86.39,12.23,4.98,3.15
86.69,12.25,5.01,3.17
86.99,12.23,4.99,3.13
87.29,12.21,4.98,3.09
87.59,12.26,4.98,3.12
87.89,12.23,5.02,3.16
88.19,12.23,5.01,3.07
88.49,12.26,4.98,3.14
88.79,12.21,4.99,3.11
89.1,12.26,5.01,3.18
89.4,12.25,4.98,3.18
89.7,12.25,4.98,3.06
90.0,12.26,4.98,3.12
90.3,12.25,4.98,3.17
90.6,12.26,4.99,3.17
90.9,12.23,4.98,3.15
91.2,12.25,4.99,3.13
91.5,12.25,5.02,2.79
91.81,12.23,4.99,3.16
92.11,12.25,4.98,3.11
92.41,12.25,4.98,3.13
92.71,12.25,4.99,3.12
93.01,12.26,4.97,3.15
93.31,12.25,4.99,3.15
93.61,12.25,4.98,3.35
93.91,12.23,4.99,3.16
94.21,12.23,4.99,3.15
94.51,12.26,4.98,3.15
94.82,12.25,4.99,3.1
95.12,12.26,4.98,3.18
95.42,12.23,5.01,3.11
95.72,12.25,4.99,3.24
96.02,12.23,5.01,3.09
96.32,12.26,4.99,3.15
96.62,12.25,5.01,3.06
96.92,12.23,4.97,3.14
97.22,12.25,4.97,3.13
97.52,12.19,4.98,3.13
97.82,12.25,4.99,3.09
98.13,12.26,4.99,3.17
98.43,12.21,4.98,3.1
98.73,12.25,4.98,3.12
99.03,12.23,4.99,3.22
99.33,12.25,5.01,3.07
99.63,12.25,5.01,3.12
99.93,12.25,4.98,3.12
100.23,12.26,4.98,3.1
100.53,12.26,4.99,3.1
100.83,12.25,4.98,3.13
101.14,12.23,4.99,3.09
101.44,12.26,5.04,3.12
101.74,12.23,4.98,3.09
102.04,12.25,4.99,3.11
102.34,12.26,4.95,3.11
102.64,12.26,4.99,3.09
102.94,12.25,4.98,3.17
103.24,12.25,4.97,3.15
103.54,12.23,4.99,3.19
103.85,12.25,4.97,3.06
104.15,12.25,5.01,3.08
104.45,12.25,4.98,3.19
104.75,12.23,4.98,3.12
105.05,12.25,4.98,3.17
105.35,12.25,4.89,3.08
105.65,12.26,4.97,3.27
105.95,12.23,4.98,3.13
106.25,12.23,4.98,3.13
106.55,12.25,4.99,3.15
106.86,12.23,4.97,2.84
107.16,12.21,4.99,3.08
107.46,12.25,4.98,3.12
107.76,12.23,4.95,3.05
108.06,12.25,5.01,3.11
108.36,12.28,5.01,3.1
108.66,12.25,4.98,3.09
108.96,12.26,4.98,3.15
109.26,12.25,5.01,3.14
109.56,12.23,4.98,3.2
109.86,12.26,4.98,3.14
110.17,12.25,5.06,3.03
110.47,12.25,4.99,3.19
110.77,12.26,5.01,3.11
111.07,12.25,4.98,3.15
111.37,12.23,4.99,3.15
111.67,12.25,5.01,3.16
111.97,12.26,4.98,3.19
112.27,12.19,4.99,3.23
112.57,12.25,4.98,3.15
112.88,12.21,4.94,3.09
113.18,12.23,4.98,3.17
113.48,12.26,4.99,3.09
113.78,12.25,4.97,3.13
114.08,12.21,4.98,3.14
114.38,12.23,5.02,3.09
114.68,12.26,4.97,3.08
114.98,12.25,4.98,3.07
115.28,12.23,4.98,3.13
115.58,12.25,4.99,3.14
115.89,12.23,4.98,3.14
116.19,12.25,4.99,3.16
116.49,12.28,4.98,3.12
116.79,12.26,4.95,3.12
117.09,12.23,4.98,3.1
117.39,12.25,4.98,3.13
117.69,12.25,4.98,3.22
117.99,12.25,4.98,3.15
118.29,12.23,5.01,3.11
118.59,12.25,5.01,3.09
118.89,12.25,4.97,3.16
119.2,12.25,5.01,3.15
119.5,12.21,4.98,3.1
119.8,12.28,4.98,3.05
120.1,12.23,4.97,3.17
120.4,12.26,4.99,3.14
120.7,12.25,4.99,3.12
121.0,12.23,5.03,3.07
121.3,12.23,4.98,3.11
121.6,12.25,4.99,3.1
121.9,12.25,4.97,3.1
122.21,12.21,4.98,3.15
122.51,12.25,4.99,3.18
122.81,12.25,4.98,3.12
123.11,12.25,4.99,3.16
123.41,12.23,4.98,3.11
123.71,12.25,5.01,3.06
124.01,12.23,4.98,3.1
124.31,12.25,5.01,3.03
124.61,12.25,4.98,3.06
124.92,12.25,4.99,3.1
125.22,12.25,4.99,3.17
125.52,12.25,4.98,3.23
125.82,12.25,4.97,3.12
126.12,12.26,5.02,3.16
126.42,12.28,4.99,3.16
126.72,12.25,4.98,3.1
127.02,12.21,4.98,3.37
127.32,12.23,4.98,3.15
127.62,12.23,4.99,3.1
127.93,12.25,4.99,3.08
128.23,12.25,4.99,3.22
128.53,12.25,4.99,3.09
128.83,12.25,4.99,3.11
129.13,12.25,4.98,3.13
129.43,12.23,4.99,3.09
129.73,12.21,4.98,3.15
130.03,12.26,4.98,3.19
130.33,12.26,4.98,3.1
130.63,12.23,4.97,3.45
130.93,12.26,4.97,3.06
131.24,12.23,4.98,3.15
131.54,12.26,4.98,3.09
131.84,12.3,4.98,3.13
132.14,12.26,4.99,3.17
132.44,12.23,4.98,3.27
132.74,12.23,4.98,3.15
133.04,12.25,4.99,3.11
133.34,12.25,4.99,3.1
133.64,12.25,4.99,3.15
133.95,12.21,4.98,3.1
134.25,12.23,5.01,3.13
134.55,12.23,4.99,3.02
134.85,12.25,4.98,3.35
135.15,12.26,4.99,3.16
135.45,12.23,4.98,3.15
135.75,12.25,4.99,3.16
136.05,12.26,4.99,3.15
136.35,12.25,4.98,3.19
136.65,12.25,4.97,3.11
136.96,12.23,4.98,3.11
137.26,12.25,4.99,3.11
137.56,12.25,4.98,3.1
137.86,12.26,4.99,3.13
138.16,12.25,4.98,3.13
138.46,12.25,4.98,3.17
138.76,12.26,4.99,3.17
139.06,12.23,4.99,3.11
139.36,12.25,4.95,3.13
139.66,12.26,5.01,3.13
139.96,12.21,4.99,3.13
140.27,12.21,4.97,3.17
140.57,12.25,4.98,3.1
140.87,12.21,4.99,3.12
141.17,12.25,4.98,3.15
141.47,12.23,4.98,3.12
141.77,12.25,4.95,3.22
142.07,12.23,4.99,3.16
142.37,12.25,4.98,3.11
142.67,12.21,4.98,3.14
142.98,12.23,4.99,3.15
143.28,12.25,5.01,3.1
143.58,12.25,4.99,3.16
143.88,12.25,4.98,3.11
144.18,12.26,4.98,3.17
144.48,12.25,4.99,3.11
144.78,12.25,4.97,3.18
145.08,12.23,4.97,3.17
145.38,12.25,4.98,3.19
145.68,12.23,4.99,3.14
145.99,12.28,4.97,2.82
146.29,12.26,4.98,3.06
146.59,12.26,4.99,3.34
146.89,12.25,4.98,3.1
147.19,12.23,4.98,3.07
147.49,12.23,4.98,3.12
147.79,12.21,4.99,3.09
148.09,12.21,4.99,3.13
148.39,12.23,4.98,3.11
148.69,12.23,4.98,3.09
148.99,12.25,4.98,3.11
149.3,12.25,4.98,3.11
149.6,12.25,4.99,3.14
149.9,12.23,4.99,3.13
150.2,12.21,4.99,3.15
150.5,12.25,4.98,3.18
150.8,12.26,5.01,3.16
151.1,12.25,4.99,3.15
151.4,12.25,5.01,3.14
151.7,12.25,4.97,3.16
152.01,12.25,4.99,3.16
152.31,12.3,4.99,3.11
152.61,12.25,4.99,3.16
152.91,12.23,4.98,3.14
153.21,12.26,4.99,3.09
153.51,12.26,4.98,3.1
153.81,12.25,4.98,3.16
154.11,12.26,4.99,3.1
154.41,12.23,5.01,3.13
154.71,12.25,4.98,3.15
155.01,12.26,4.97,3.17
155.32,12.25,4.99,3.24
155.62,12.23,4.98,3.14
155.92,12.23,4.98,3.13
156.22,12.23,4.97,3.12
156.52,12.26,4.97,3.15
156.82,12.25,4.98,3.09
157.12,12.25,4.99,3.16
157.42,12.25,4.94,3.17
157.72,12.21,4.98,3.16
158.02,12.25,5.02,3.14
158.33,12.23,4.98,3.07
158.63,12.23,5.01,3.12
158.93,12.23,4.98,3.07
159.23,12.23,4.98,3.16
159.53,12.26,5.01,3.13
159.83,12.23,4.98,3.13
160.13,12.26,4.97,3.15
160.43,12.26,4.99,3.18
160.73,12.25,4.97,3.12
161.04,12.25,4.98,3.14
161.34,12.25,4.99,3.12
161.64,12.23,4.98,3.09
161.94,12.17,4.98,3.11
162.24,12.21,4.99,3.17
162.54,12.21,4.99,3.09
162.84,12.28,4.99,3.11
163.14,12.21,4.99,3.14
163.44,12.25,4.98,3.12
163.74,12.25,4.98,3.15
164.04,12.25,4.98,3.12
164.35,12.25,4.98,3.09
164.65,12.25,4.98,3.15
164.95,12.23,4.98,3.14
165.25,12.26,4.99,3.15
165.55,12.25,4.98,3.15
165.85,12.23,4.99,3.15
166.15,12.23,4.98,3.15
166.45,12.23,4.98,3.19
166.75,12.25,4.98,3.12
167.05,12.25,4.98,3.09
167.36,12.25,4.98,3.11
167.66,12.23,4.99,3.13
167.96,12.26,4.99,3.04
168.26,12.23,4.98,3.2
168.56,12.23,4.99,3.14
168.86,12.25,4.99,3.1
169.16,12.25,4.97,3.15
169.46,12.23,4.98,3.15
169.76,12.25,4.98,3.11
170.07,12.23,4.97,3.15
170.37,12.25,5.01,3.16
170.67,12.25,4.97,3.16
170.97,12.25,4.99,3.16
171.27,12.25,5.01,3.21
171.57,12.26,5.01,3.14
171.87,12.25,4.95,3.17
172.17,12.3,4.97,3.11
172.47,12.23,4.98,3.14
172.77,12.25,4.99,3.15
173.07,12.25,4.99,3.1
173.38,12.21,4.98,3.12
173.68,12.25,5.01,3.05
173.98,12.23,4.97,3.06
174.28,12.21,4.99,3.11
174.58,12.26,4.98,3.19
174.88,12.25,4.99,3.12
175.18,12.25,4.97,3.16
175.48,12.23,4.98,3.07
175.78,12.28,4.99,3.15
176.09,12.25,4.98,3.16
176.39,12.23,4.98,3.14
176.69,12.23,4.99,2.93
176.99,12.23,4.99,3.13
177.29,12.25,4.97,3.1
177.59,12.21,4.98,3.19
177.89,12.25,4.99,3.12
178.19,12.25,4.99,3.14
178.49,12.25,4.98,3.08
178.79,12.26,4.98,3.16
179.1,12.25,4.98,3.1
179.4,12.25,4.98,3.1
179.7,12.23,5.02,3.16
180.0,12.26,4.99,3.2
180.3,12.21,4.99,3.11
180.6,12.25,4.99,3.21
180.9,12.25,4.98,3.09
181.2,12.25,4.99,3.16
181.5,12.25,4.98,3.11
181.8,12.23,4.98,3.06
182.1,12.25,4.97,3.12
182.41,12.26,4.99,3.26
182.71,12.25,4.98,3.11
183.01,12.25,5.02,3.1
183.31,12.26,4.95,3.1
183.61,12.25,4.99,3.08
183.91,12.25,4.98,3.17
184.21,12.25,4.98,3.12
184.51,12.26,4.97,3.13
184.81,12.21,4.98,3.1
185.12,12.23,4.95,3.12
185.42,12.26,4.98,3.09
185.72,12.23,4.99,3.14
186.02,12.25,4.98,3.14
186.32,12.23,4.97,3.12
186.62,12.23,4.99,3.08
186.92,12.23,4.99,3.32
187.22,12.25,4.99,3.12
187.52,12.23,4.98,3.14
187.82,12.25,4.97,3.09
188.12,12.25,4.99,3.26
188.43,12.25,4.99,3.14
188.73,12.25,4.98,3.31
189.03,12.25,4.98,3.14
189.33,12.26,4.99,3.17
189.63,12.25,5.01,3.13
189.93,12.25,4.99,3.12
190.23,12.26,4.97,3.15
190.53,12.25,4.99,3.18
190.83,12.25,4.98,3.14
191.13,12.25,5.01,3.13
191.44,12.25,4.99,3.15
191.74,12.25,4.99,3.1
192.04,12.23,4.95,3.14
192.34,12.21,5.01,3.16
192.64,12.23,5.01,3.12
192.94,12.26,4.98,3.12
193.24,12.25,4.97,3.11
193.54,12.25,4.99,3.16
193.84,12.26,4.98,3.08
194.15,12.25,5.03,3.15
194.45,12.25,4.98,3.14
194.75,12.23,4.99,3.09
195.05,12.25,4.95,3.12
195.35,12.25,4.98,3.1
195.65,12.23,4.98,3.11
195.95,12.23,4.98,3.19
196.25,12.23,4.99,3.13
196.55,12.23,4.98,3.15
196.85,12.26,4.99,3.12
197.15,12.23,4.98,3.12
197.46,12.28,5.01,3.14
197.76,12.26,4.99,3.14
198.06,12.25,4.99,3.1
198.36,12.21,4.99,3.11
198.66,12.23,4.99,3.13
198.96,12.21,4.99,3.07
199.26,12.25,4.99,3.13
199.56,12.23,4.98,3.12
199.86,12.25,5.04,3.15
200.16,12.26,4.98,3.19
200.47,12.23,4.98,3.17
200.77,12.21,4.97,3.13
201.07,12.23,4.97,3.13
201.37,12.25,4.98,3.1
201.67,12.26,4.99,3.1
201.97,12.23,4.99,3.25
202.27,12.26,4.98,3.09
202.57,12.26,4.95,3.14
202.87,12.25,4.94,3.13
203.18,12.26,4.97,3.11
203.48,12.25,5.01,3.14
203.78,12.26,4.98,3.2
204.08,12.25,4.99,3.13
204.38,12.23,4.99,3.13
204.68,12.25,4.98,3.1
204.98,12.26,5.01,3.14
205.28,12.23,4.99,3.13
205.58,12.26,4.99,3.1
205.88,12.25,4.99,3.17
206.18,12.21,4.98,3.14
206.49,12.26,5.02,3.13
206.79,12.21,4.98,3.17
207.09,12.25,5.01,3.13
207.39,12.23,4.98,3.1
207.69,12.26,5.01,3.13
207.99,12.26,5.01,3.06
208.29,12.23,4.97,2.76
208.59,12.21,4.97,3.13
208.89,12.26,4.98,3.12
209.2,12.25,4.98,3.14
209.5,12.21,5.02,3.18
209.8,12.26,4.99,3.17
210.1,12.25,4.99,3.12
210.4,12.26,5.02,3.15
210.7,12.25,4.94,3.17
211.0,12.25,4.97,3.03
211.3,12.25,4.99,3.14
211.6,12.23,4.98,3.13
211.9,12.26,4.98,3.15
212.21,12.25,4.98,3.06
212.51,12.25,4.98,3.18
212.81,12.25,4.99,3.12
213.11,12.26,4.98,3.16
213.41,12.25,4.97,3.14
213.71,12.25,4.98,3.09
214.01,12.25,4.99,3.13
214.31,12.25,5.01,3.13
214.61,12.19,4.99,3.13
214.91,12.25,5.02,3.1
215.21,12.23,4.98,3.11
215.52,12.25,4.98,3.15
215.82,12.26,4.97,3.1
216.12,12.25,4.99,3.12
216.42,12.25,4.98,3.08
216.72,12.23,4.97,3.16
217.02,12.25,4.98,3.15
217.32,12.23,5.01,3.15
217.62,12.25,4.98,3.18
217.92,12.25,4.98,3.13
218.23,12.26,4.98,3.16
218.53,12.19,4.99,3.17
218.83,12.23,4.98,3.1
219.13,12.25,4.99,3.16
219.43,12.26,4.98,3.08
219.73,12.25,4.97,3.15
220.03,12.26,4.98,3.12
220.33,12.25,4.98,3.1
220.63,12.25,4.99,3.11
220.93,12.26,5.02,3.03
221.24,12.23,4.97,3.14
221.54,12.25,4.97,3.16
221.84,12.23,4.98,3.14
222.14,12.25,4.98,3.1
222.44,12.25,4.98,3.11
222.74,12.25,4.98,3.06
223.04,12.25,4.99,3.1
223.34,12.26,4.98,3.17
223.64,12.25,4.99,3.13
223.94,12.25,4.99,3.1
224.24,12.25,4.99,3.13
224.55,12.25,4.99,3.17
224.85,12.26,4.99,3.12
225.15,12.23,4.95,3.1
225.45,12.25,4.99,3.1
225.75,12.23,4.99,3.15
226.05,12.23,4.98,3.19
226.35,12.25,4.98,3.17
226.65,12.25,4.98,3.19
226.95,12.26,4.97,3.17
227.26,12.25,4.99,3.14
227.56,12.21,4.98,3.14
227.86,12.25,5.02,3.08
228.16,12.23,4.98,3.13
228.46,12.26,4.99,3.14
228.76,12.26,4.98,3.1
229.06,12.25,4.99,3.06
229.36,12.26,4.98,3.1
229.66,12.25,4.99,3.13
229.96,12.21,4.97,3.18
230.26,12.23,4.98,3.12
230.57,12.25,4.99,3.18
230.87,12.25,4.99,3.04
231.17,12.23,4.98,3.13
231.47,12.26,4.98,3.16
231.77,12.23,4.98,3.1
232.07,12.19,4.98,3.1
232.37,12.25,4.99,3.17
232.67,12.26,4.98,3.14
232.97,12.25,4.99,3.12
233.27,12.23,4.98,3.1
233.58,12.26,4.97,3.11
233.88,12.23,4.98,3.12
234.18,12.25,4.98,3.14
234.48,12.25,4.99,3.15
234.78,12.25,4.95,3.13
235.08,12.25,5.01,3.08
235.38,12.26,4.99,3.13
235.68,12.26,4.98,3.22
235.98,12.25,4.98,3.14
236.29,12.25,4.98,2.94
236.59,12.23,4.99,3.19
236.89,12.25,4.99,3.14
237.19,12.23,5.01,3.15
237.49,12.23,4.99,3.17
237.79,12.26,4.97,3.05
238.09,12.25,4.99,3.13
238.39,12.25,4.98,3.17
238.69,12.25,4.98,3.16
238.99,12.26,4.99,2.96
239.29,12.23,4.98,3.14
239.6,12.25,4.97,3.12
239.9,12.21,4.98,3.12
240.2,12.3,4.98,3.13
240.5,12.25,4.98,3.14
240.8,12.21,4.99,3.13
241.1,12.25,4.99,3.08
241.4,12.25,4.99,3.07
241.7,12.23,4.99,3.11
242.0,12.25,4.98,3.09
242.3,12.28,4.98,3.15
242.61,12.23,5.01,3.12
242.91,12.23,4.98,3.13
243.21,12.25,4.99,3.14
243.51,12.25,4.98,3.12
243.81,12.23,4.99,3.14
244.11,12.23,4.98,3.14
244.41,12.25,4.98,3.1
244.71,12.25,4.98,3.17
245.01,12.25,4.98,3.09
245.32,12.21,4.98,3.13
245.62,12.26,4.98,3.13
245.92,12.25,4.98,3.13
246.22,12.25,4.98,3.17
246.52,12.23,4.98,3.17
246.82,12.23,4.95,3.16
247.12,12.26,4.99,3.17
247.42,12.26,4.99,3.13
247.72,12.23,4.98,3.11
248.02,12.25,4.98,3.13
248.32,12.25,4.98,3.1
248.63,12.21,5.02,2.89
248.93,12.23,4.99,3.12
249.23,12.23,4.98,3.1
249.53,12.23,4.98,3.14
249.83,12.23,4.99,3.16
250.13,12.25,4.93,3.13
250.43,12.26,4.98,3.2
250.73,12.25,4.99,3.03
251.03,12.23,4.99,3.12
251.34,12.25,4.98,3.09
251.64,12.26,4.97,3.08
251.94,12.26,4.98,3.12
252.24,12.23,4.97,3.13
252.54,12.25,4.99,3.12
252.84,12.26,4.99,3.11
253.14,12.26,4.99,3.17
253.44,12.25,4.99,3.09
253.74,12.23,4.99,3.13
254.04,12.23,4.98,3.16
254.35,12.25,4.98,3.08
254.65,12.25,4.98,3.13
254.95,12.21,4.98,2.81
255.25,12.21,4.97,3.15
255.55,12.25,4.98,3.17
255.85,12.25,4.99,3.08
256.15,12.26,4.98,3.04
256.45,12.25,4.99,3.16
256.75,12.25,4.98,3.12
257.05,12.25,4.98,3.13
257.36,12.23,4.99,3.09
257.66,12.23,4.98,3.14
257.96,12.25,4.98,3.16
258.26,12.25,4.94,3.07
258.56,12.25,4.99,3.15
258.86,12.25,4.99,3.15
259.16,12.25,4.98,3.12
259.46,12.25,4.99,3.12
259.76,12.25,4.99,3.1
260.06,12.25,5.03,3.07
260.36,12.23,4.98,3.15
260.67,12.25,4.99,3.21
260.97,12.25,5.02,3.04
261.27,12.28,4.98,3.08
261.57,12.25,4.98,3.2
261.87,12.21,4.97,3.11
