Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
0.0,12.26,5.01,3.16
0.3,12.25,4.98,3.14
0.6,12.25,4.98,3.17
0.9,12.25,4.99,3.11
1.2,12.25,5.01,3.11
1.5,12.25,4.98,3.12
1.81,12.23,4.98,3.12
2.11,12.26,5.01,3.16
2.41,12.23,4.99,3.16
2.71,12.23,4.97,3.11
3.01,12.25,4.98,3.15
3.31,12.26,4.99,3.15
3.61,12.26,4.95,3.22
3.91,12.26,4.99,3.08
4.21,12.28,4.98,3.15
4.51,12.25,4.98,3.12
4.82,12.25,4.98,3.13
5.12,12.25,4.99,3.13
5.42,12.25,4.95,3.06
5.72,12.25,4.94,3.15
6.02,12.26,4.98,3.16
6.32,12.25,5.01,3.15
6.62,12.25,4.98,3.22
6.92,12.21,4.98,3.1
7.22,12.23,4.97,3.16
7.53,12.26,4.98,3.18
7.83,12.25,4.98,3.13
8.13,12.23,4.98,3.18
8.43,12.25,5.01,3.11
8.73,12.25,4.99,3.17
9.03,12.25,4.98,3.14
9.33,12.23,4.99,3.06
9.63,12.23,4.99,3.13
9.93,12.25,4.99,2.82
10.23,12.26,4.98,3.15
10.53,12.25,4.99,3.11
10.84,12.25,4.99,3.15
11.14,12.26,4.98,3.11
11.44,12.25,5.01,3.13
11.74,12.25,4.98,3.08
12.04,12.25,4.99,3.13
12.34,12.23,4.95,3.14
12.64,12.26,4.98,3.07
12.94,12.21,4.98,3.17
13.24,12.25,4.98,3.15
13.55,12.23,4.98,2.79
13.85,12.25,4.98,3.05
14.15,12.3,4.94,3.06
14.45,12.25,4.98,3.1
14.75,12.28,4.98,3.14
15.05,12.23,4.99,3.11
15.35,12.17,4.98,3.1
15.65,12.23,4.99,3.14
15.95,12.21,4.91,3.13
16.25,12.23,4.98,3.09
16.56,12.25,4.97,3.14
16.86,12.25,4.97,3.19
17.16,12.26,4.99,3.12
17.46,12.25,4.98,2.91
17.76,12.23,4.99,3.13
18.06,12.23,4.99,3.17
18.36,12.23,4.98,3.11
18.66,12.26,4.97,3.09
18.96,12.23,4.99,3.15
19.26,12.25,4.99,3.14
19.57,12.26,4.99,3.24
19.87,12.25,4.97,3.14
20.17,12.25,4.97,3.13
20.47,12.26,5.01,3.1
20.77,12.25,4.99,3.16
21.07,12.25,5.04,3.09
21.37,12.23,5.01,2.95
21.67,12.25,4.98,3.13
21.97,12.23,4.97,3.18
22.27,12.25,4.98,2.96
22.58,12.25,4.99,3.16
22.88,12.25,4.99,3.16
23.18,12.26,4.98,3.13
23.48,12.25,4.98,3.13
23.78,12.23,4.97,3.13
24.08,12.25,4.99,3.13
24.38,12.21,4.98,3.11
24.68,12.26,4.98,3.13
24.98,12.23,5.03,3.06
25.28,12.25,4.98,3.12
25.58,12.25,4.99,3.11
25.89,12.25,5.01,3.16
26.19,12.25,4.99,3.13
26.49,12.28,4.97,3.18
26.79,12.23,5.02,3.16
27.09,12.23,5.01,3.31
27.39,12.25,5.03,3.18
27.69,12.23,4.95,3.02
27.99,12.26,4.99,3.1
28.29,12.25,4.99,3.14
28.59,12.21,4.98,3.15
28.9,12.25,4.99,3.16
29.2,12.23,4.99,3.11
29.5,12.25,5.01,3.15
29.8,12.25,4.98,3.11
